#LAMMPS data file for cubic lattice with middle particle bonds

467 atoms
2062 bonds
1 atom types
2 bond types
-27.0 27.0 xlo xhi
-27.0 27.0 ylo yhi
-2.0 2.0 zlo zhi

Masses

1 1.0

Bond Coeffs

1 0.1 1
2 0.1 0.8660254037844386

Atoms

1 1 -7.5 -2.5 0.0 0 0.01 0.0 0 0 0 0.0 0
2 1 -7.5 -1.5 0.0 0 0.01 0.0 0 0 0 0.0 0
3 1 -7.5 -0.5 0.0 0 0.01 0.0 0 0 0 0.0 0
4 1 -8.0 0.0 -0.5 0 0.01 0.0 0 0 0 0.0 0
5 1 -7.5 0.5 0.0 0 0.01 0.0 0 0 0 0.0 0
6 1 -8.0 0.0 0.5 0 0.01 0.0 0 0 0 0.0 0
7 1 -7.5 1.5 0.0 0 0.01 0.0 0 0 0 0.0 0
8 1 -7.5 2.5 0.0 0 0.01 0.0 0 0 0 0.0 0
9 1 -6.5 -4.5 0.0 0 0.01 0.0 0 0 0 0.0 0
10 1 -6.5 -3.5 0.0 0 0.01 0.0 0 0 0 0.0 0
11 1 -7.0 -3.0 -0.5 0 0.01 0.0 0 0 0 0.0 0
12 1 -6.5 -2.5 0.0 0 0.01 0.0 0 0 0 0.0 0
13 1 -7.0 -3.0 0.5 0 0.01 0.0 0 0 0 0.0 0
14 1 -7.0 -2.0 -0.5 0 0.01 0.0 0 0 0 0.0 0
15 1 -6.5 -1.5 0.0 0 0.01 0.0 0 0 0 0.0 0
16 1 -7.0 -2.0 0.5 0 0.01 0.0 0 0 0 0.0 0
17 1 -7.0 -1.0 -0.5 0 0.01 0.0 0 0 0 0.0 0
18 1 -6.5 -0.5 0.0 0 0.01 0.0 0 0 0 0.0 0
19 1 -7.0 -1.0 0.5 0 0.01 0.0 0 0 0 0.0 0
20 1 -7.0 0.0 -0.5 0 0.01 0.0 0 0 0 0.0 0
21 1 -6.5 0.5 0.0 0 0.01 0.0 0 0 0 0.0 0
22 1 -7.0 0.0 0.5 0 0.01 0.0 0 0 0 0.0 0
23 1 -7.0 1.0 -0.5 0 0.01 0.0 0 0 0 0.0 0
24 1 -6.5 1.5 0.0 0 0.01 0.0 0 0 0 0.0 0
25 1 -7.0 1.0 0.5 0 0.01 0.0 0 0 0 0.0 0
26 1 -7.0 2.0 -0.5 0 0.01 0.0 0 0 0 0.0 0
27 1 -6.5 2.5 0.0 0 0.01 0.0 0 0 0 0.0 0
28 1 -7.0 2.0 0.5 0 0.01 0.0 0 0 0 0.0 0
29 1 -7.0 3.0 -0.5 0 0.01 0.0 0 0 0 0.0 0
30 1 -6.5 3.5 0.0 0 0.01 0.0 0 0 0 0.0 0
31 1 -7.0 3.0 0.5 0 0.01 0.0 0 0 0 0.0 0
32 1 -6.5 4.5 0.0 0 0.01 0.0 0 0 0 0.0 0
33 1 -5.5 -5.5 0.0 0 0.01 0.0 0 0 0 0.0 0
34 1 -6.0 -5.0 -0.5 0 0.01 0.0 0 0 0 0.0 0
35 1 -5.5 -4.5 0.0 0 0.01 0.0 0 0 0 0.0 0
36 1 -6.0 -5.0 0.5 0 0.01 0.0 0 0 0 0.0 0
37 1 -6.0 -4.0 -0.5 0 0.01 0.0 0 0 0 0.0 0
38 1 -5.5 -3.5 0.0 0 0.01 0.0 0 0 0 0.0 0
39 1 -6.0 -4.0 0.5 0 0.01 0.0 0 0 0 0.0 0
40 1 -6.0 -3.0 -0.5 0 0.01 0.0 0 0 0 0.0 0
41 1 -5.5 -2.5 0.0 0 0.01 0.0 0 0 0 0.0 0
42 1 -6.0 -3.0 0.5 0 0.01 0.0 0 0 0 0.0 0
43 1 -6.0 -2.0 -0.5 0 0.01 0.0 0 0 0 0.0 0
44 1 -5.5 -1.5 0.0 0 0.01 0.0 0 0 0 0.0 0
45 1 -6.0 -2.0 0.5 0 0.01 0.0 0 0 0 0.0 0
46 1 -6.0 -1.0 -0.5 0 0.01 0.0 0 0 0 0.0 0
47 1 -5.5 -0.5 0.0 0 0.01 0.0 0 0 0 0.0 0
48 1 -6.0 -1.0 0.5 0 0.01 0.0 0 0 0 0.0 0
49 1 -6.0 0.0 -0.5 0 0.01 0.0 0 0 0 0.0 0
50 1 -5.5 0.5 0.0 0 0.01 0.0 0 0 0 0.0 0
51 1 -6.0 0.0 0.5 0 0.01 0.0 0 0 0 0.0 0
52 1 -6.0 1.0 -0.5 0 0.01 0.0 0 0 0 0.0 0
53 1 -5.5 1.5 0.0 0 0.01 0.0 0 0 0 0.0 0
54 1 -6.0 1.0 0.5 0 0.01 0.0 0 0 0 0.0 0
55 1 -6.0 2.0 -0.5 0 0.01 0.0 0 0 0 0.0 0
56 1 -5.5 2.5 0.0 0 0.01 0.0 0 0 0 0.0 0
57 1 -6.0 2.0 0.5 0 0.01 0.0 0 0 0 0.0 0
