#LAMMPS data file for cubic lattice with middle particle bonds

471 atoms
2014 bonds
1 atom types
2 bond types
-27.0 27.0 xlo xhi
-27.0 27.0 ylo yhi
-2.0 2.0 zlo zhi

Masses

1 1.0

Bond Coeffs

1 0.1 1
2 0.1 0.8660254037844386

Atoms

1 1 -9.5 -0.5 0.0 0 0.01 0.0 0 0 0 0.0 0
2 1 -8.5 -2.5 0.0 0 0.01 0.0 0 0 0 0.0 0
3 1 -9.0 -2.0 -0.5 0 0.01 0.0 0 0 0 0.0 0
4 1 -8.5 -1.5 0.0 0 0.01 0.0 0 0 0 0.0 0
5 1 -9.0 -2.0 0.5 0 0.01 0.0 0 0 0 0.0 0
6 1 -9.0 -1.0 -0.5 0 0.01 0.0 0 0 0 0.0 0
7 1 -8.5 -0.5 0.0 0 0.01 0.0 0 0 0 0.0 0
8 1 -9.0 -1.0 0.5 0 0.01 0.0 0 0 0 0.0 0
9 1 -7.5 -3.5 0.0 0 0.01 0.0 0 0 0 0.0 0
10 1 -8.0 -3.0 -0.5 0 0.01 0.0 0 0 0 0.0 0
11 1 -7.5 -2.5 0.0 0 0.01 0.0 0 0 0 0.0 0
12 1 -8.0 -3.0 0.5 0 0.01 0.0 0 0 0 0.0 0
13 1 -8.0 -2.0 -0.5 0 0.01 0.0 0 0 0 0.0 0
14 1 -7.5 -1.5 0.0 0 0.01 0.0 0 0 0 0.0 0
15 1 -8.0 -2.0 0.5 0 0.01 0.0 0 0 0 0.0 0
16 1 -8.0 -1.0 -0.5 0 0.01 0.0 0 0 0 0.0 0
17 1 -7.5 -0.5 0.0 0 0.01 0.0 0 0 0 0.0 0
18 1 -8.0 -1.0 0.5 0 0.01 0.0 0 0 0 0.0 0
19 1 -6.5 -4.5 0.0 0 0.01 0.0 0 0 0 0.0 0
20 1 -7.0 -4.0 -0.5 0 0.01 0.0 0 0 0 0.0 0
21 1 -6.5 -3.5 0.0 0 0.01 0.0 0 0 0 0.0 0
22 1 -7.0 -4.0 0.5 0 0.01 0.0 0 0 0 0.0 0
23 1 -7.0 -3.0 -0.5 0 0.01 0.0 0 0 0 0.0 0
24 1 -6.5 -2.5 0.0 0 0.01 0.0 0 0 0 0.0 0
25 1 -7.0 -3.0 0.5 0 0.01 0.0 0 0 0 0.0 0
26 1 -7.0 -2.0 -0.5 0 0.01 0.0 0 0 0 0.0 0
27 1 -6.5 -1.5 0.0 0 0.01 0.0 0 0 0 0.0 0
28 1 -7.0 -2.0 0.5 0 0.01 0.0 0 0 0 0.0 0
29 1 -7.0 -1.0 -0.5 0 0.01 0.0 0 0 0 0.0 0
30 1 -6.5 -0.5 0.0 0 0.01 0.0 0 0 0 0.0 0
31 1 -7.0 -1.0 0.5 0 0.01 0.0 0 0 0 0.0 0
32 1 -5.5 -5.5 0.0 0 0.01 0.0 0 0 0 0.0 0
